source,extension,stressor,region,sector,year,original_value,corrected_value,correction_method,fit_window,correction_reason,replaced_nonzero_source,prediction_clipped_to_zero,basis_label,delta,abs_delta,abs_pct_change
exiobase_3102_pxp,land,Forest,MT,"Products of forestry, logging and related services (02)",2010,3.5,19.97390016900509,donor_sector_intensity,,"MT correction: missing extension data recorded at 0, and some present values are incoherently too small. Pooled EU27 donor sectors with a MT predictor are used.",True,False,positive_factor_inputs_sum_by_region_sector,16.47390016900509,16.47390016900509,4.706828619715741
exiobase_3102_pxp,land,Forest,MT,"Products of forestry, logging and related services (02)",2011,3.5,2.458565737438356,donor_sector_intensity,,"MT correction: missing extension data recorded at 0, and some present values are incoherently too small. Pooled EU27 donor sectors with a MT predictor are used.",True,False,positive_factor_inputs_sum_by_region_sector,-1.0414342625616442,1.0414342625616442,0.29755264644618407
exiobase_3102_pxp,land,Forest,MT,"Products of forestry, logging and related services (02)",2013,3.5,6.712474075511525,donor_sector_intensity,,"MT correction: missing extension data recorded at 0, and some present values are incoherently too small. Pooled EU27 donor sectors with a MT predictor are used.",True,False,positive_factor_inputs_sum_by_region_sector,3.2124740755115253,3.2124740755115253,0.9178497358604358
exiobase_3102_pxp,land,Forest,MT,"Products of forestry, logging and related services (02)",2014,3.5,16.981846844114166,donor_sector_intensity,,"MT correction: missing extension data recorded at 0, and some present values are incoherently too small. Pooled EU27 donor sectors with a MT predictor are used.",True,False,positive_factor_inputs_sum_by_region_sector,13.481846844114166,13.481846844114166,3.851956241175476
exiobase_3102_pxp,land,Forest,MT,"Products of forestry, logging and related services (02)",2015,3.5,11.701408098409624,donor_sector_intensity,,"MT correction: missing extension data recorded at 0, and some present values are incoherently too small. Pooled EU27 donor sectors with a MT predictor are used.",True,False,positive_factor_inputs_sum_by_region_sector,8.201408098409624,8.201408098409624,2.343259456688464
exiobase_3102_pxp,land,Forest,MT,"Products of forestry, logging and related services (02)",2016,3.79999995232,4.4689047668181185,donor_sector_intensity,,"MT correction: missing extension data recorded at 0, and some present values are incoherently too small. Pooled EU27 donor sectors with a MT predictor are used.",True,False,positive_factor_inputs_sum_by_region_sector,0.6689048144981187,0.6689048144981187,0.17602758497134577
exiobase_3102_pxp,land,Forest,MT,"Products of forestry, logging and related services (02)",2017,4.19999980927,1.4885825178984393,donor_sector_intensity,,"MT correction: missing extension data recorded at 0, and some present values are incoherently too small. Pooled EU27 donor sectors with a MT predictor are used.",True,False,positive_factor_inputs_sum_by_region_sector,-2.711417291371561,2.711417291371561,0.6455755748814739
exiobase_3102_pxp,land,Forest,MT,"Products of forestry, logging and related services (02)",2018,4.59999990463,1.4799224169535437,donor_sector_intensity,,"MT correction: missing extension data recorded at 0, and some present values are incoherently too small. Pooled EU27 donor sectors with a MT predictor are used.",True,False,positive_factor_inputs_sum_by_region_sector,-3.120077487676456,3.120077487676456,0.6782777287747398
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",1995,0.0,861325.7552168649,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,861325.7552168649,861325.7552168649,
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",1996,0.0,545076.1842645162,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,545076.1842645162,545076.1842645162,
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",1997,0.0,332486.3183549148,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,332486.3183549148,332486.3183549148,
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",1998,0.0,129183.00843369686,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,129183.00843369686,129183.00843369686,
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",1999,0.0,194608.33658314016,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,194608.33658314016,194608.33658314016,
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",2000,0.0,208057.71426234275,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,208057.71426234275,208057.71426234275,
exiobase_3102_pxp,land,Forest,TW,"Products of forestry, logging and related services (02)",2001,0.0,189162.3945712254,donor_sector_intensity,,TW correction: missing extension data recorded at 0. CN donor sectors with positive Forest values are used.,False,False,positive_factor_inputs_sum_by_region_sector,189162.3945712254,189162.3945712254,
