Planetary boundary,Control variable,impact,impact_unit,min_cc,max_cc,ratio,comment,source
Stratospheric ozone depletion,,SOD,DU,13,27,2.076923077,,"""Kitzmann, N., Caesar, L., Sakschewski, B., Rockstr�m, J., Andersen, L., Bechthold, M., ... & Wunderling, N. (2025). Planetary Health Check 2025: A scientific assessment of the state of the planet. Doi: https://doi.org/10.48485/pik.2025.017"""
Atmospheric aerosol loading,,AAL,AOD,0.07,0.22,3.142857143,,"""Kitzmann, N., Caesar, L., Sakschewski, B., Rockstr�m, J., Andersen, L., Bechthold, M., ... & Wunderling, N. (2025). Planetary Health Check 2025: A scientific assessment of the state of the planet. Doi: https://doi.org/10.48485/pik.2025.017"""
Ocean acidification,,OA,aragonite saturation,0.58,0.69,1.189655172,,"""Kitzmann, N., Caesar, L., Sakschewski, B., Rockstr�m, J., Andersen, L., Bechthold, M., ... & Wunderling, N. (2025). Planetary Health Check 2025: A scientific assessment of the state of the planet. Doi: https://doi.org/10.48485/pik.2025.017"""
Biogeochemical flows,Nitrogen,N,Tg N yr-1,62,82,1.322580645,Global industrial and intentional biological fixation of N,"""Kitzmann, N., Caesar, L., Sakschewski, B., Rockstr�m, J., Andersen, L., Bechthold, M., ... & Wunderling, N. (2025). Planetary Health Check 2025: A scientific assessment of the state of the planet. Doi: https://doi.org/10.48485/pik.2025.017"""
Biogeochemical flows,Phosphorus,P GLO,Tg P yr-1,11,100,9.090909091,Global P flow from freshwater systems into the ocean,"""Kitzmann, N., Caesar, L., Sakschewski, B., Rockstr�m, J., Andersen, L., Bechthold, M., ... & Wunderling, N. (2025). Planetary Health Check 2025: A scientific assessment of the state of the planet. Doi: https://doi.org/10.48485/pik.2025.017"""
Freshwater use,Blue water,FWU,km3 yr-1,4000,6000,1.5,,"""Steffen, W., Richardson, K., Rockstr�m, J., Cornell, S. E., Fetzer, I., Bennett, E. M., ... & S�rlin, S. (2015). Planetary boundaries: Guiding human development on a changing planet. science, 347(6223), 1259855. doi: https://doi.org/10.1126/science.1259855"""
Land-system change,Global area of forested land,LSC,%,25,46,1.84,,"""Kitzmann, N., Caesar, L., Sakschewski, B., Rockstr�m, J., Andersen, L., Bechthold, M., ... & Wunderling, N. (2025). Planetary Health Check 2025: A scientific assessment of the state of the planet. Doi: https://doi.org/10.48485/pik.2025.017"""
Biosphere integrity,Functional diversity,BI FD,%BII loss,10,70,7,Biodiversity Intactness Index,"""Steffen, W., Richardson, K., Rockstr�m, J., Cornell, S. E., Fetzer, I., Bennett, E. M., ... & S�rlin, S. (2015). Planetary boundaries: Guiding human development on a changing planet. science, 347(6223), 1259855. doi: https://doi.org/10.1126/science.1259855"""
Climate change,Energy imbalance,EI,W m-2,1,1.5,1.5,,"""Kitzmann, N., Caesar, L., Sakschewski, B., Rockstr�m, J., Andersen, L., Bechthold, M., ... & Wunderling, N. (2025). Planetary Health Check 2025: A scientific assessment of the state of the planet. Doi: https://doi.org/10.48485/pik.2025.017"""
Climate change,Atmospheric CO2 concentration,aCO2,ppm,70,170,2.428571429,,"""Kitzmann, N., Caesar, L., Sakschewski, B., Rockstr�m, J., Andersen, L., Bechthold, M., ... & Wunderling, N. (2025). Planetary Health Check 2025: A scientific assessment of the state of the planet. Doi: https://doi.org/10.48485/pik.2025.017"""
