original_classification,aggregated_mrio
Cultivation of wheat,Cultivation of wheat
Cultivation of cereal grains nec,Cultivation of cereal grains nec
Cultivation of oil seeds,Cultivation of oil seeds
"Cultivation of vegetables, fruit, nuts","Cultivation of vegetables, fruit, nuts"
Cultivation of paddy rice,Cultivation of paddy rice
Cultivation of crops nec,Cultivation of crops nec
"Cultivation of sugar cane, sugar beet","Cultivation of sugar cane, sugar beet"
Cultivation of plant-based fibers,Cultivation of plant-based fibers
Raw milk,Raw milk
Cattle farming,Cattle farming
Meat animals nec,Meat animals nec
"Wool, silk-worm cocoons","Wool, silk-worm cocoons"
Pigs farming,Pigs farming
Poultry farming,Poultry farming
Animal products nec,Animal products nec
"Manure treatment (biogas), storage and land application","Manure treatment (biogas), storage and land application"
"Manure treatment (conventional), storage and land application","Manure treatment (conventional), storage and land application"
"Forestry, logging and related service activities (02)","Forestry, logging and related service activities (02)"
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
Mining of coal and lignite; extraction of peat (10),Mining of coal and lignite; extraction of peat (10)
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying","Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"
"Extraction of natural gas and services related to natural gas extraction, excluding surveying","Extraction of natural gas and services related to natural gas extraction, excluding surveying"
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials","Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
Mining of iron ores,Mining of iron ores
Mining of uranium and thorium ores (12),Mining of uranium and thorium ores (12)
Mining of aluminium ores and concentrates,Mining of aluminium ores and concentrates
Mining of nickel ores and concentrates,Mining of nickel ores and concentrates
Mining of other non-ferrous metal ores and concentrates,Mining of other non-ferrous metal ores and concentrates
"Mining of lead, zinc and tin ores and concentrates","Mining of lead, zinc and tin ores and concentrates"
Mining of precious metal ores and concentrates,Mining of precious metal ores and concentrates
Mining of copper ores and concentrates,Mining of copper ores and concentrates
Quarrying of stone,Quarrying of stone
Quarrying of sand and clay,Quarrying of sand and clay
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.","Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
Processing of meat cattle,Processing of meat cattle
Processing of meat pigs,Processing of meat pigs
Production of meat products nec,Production of meat products nec
Processing of meat poultry,Processing of meat poultry
Manufacture of fish products,Manufacture of fish products
Processing of Food products nec,Processing of Food products nec
Processing vegetable oils and fats,Processing vegetable oils and fats
Processing of dairy products,Processing of dairy products
Processed rice,Processed rice
Sugar refining,Sugar refining
Manufacture of beverages,Manufacture of beverages
Manufacture of tobacco products (16),Manufacture of tobacco products (16)
Manufacture of textiles (17),Manufacture of textiles (17)
Manufacture of wearing apparel; dressing and dyeing of fur (18),Manufacture of wearing apparel; dressing and dyeing of fur (18)
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)"
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"
Re-processing of secondary wood material into new wood material,Re-processing of secondary wood material into new wood material
Re-processing of secondary paper into new pulp,Re-processing of secondary paper into new pulp
Pulp,Pulp
Paper,Paper
"Publishing, printing and reproduction of recorded media (22)","Publishing, printing and reproduction of recorded media (22)"
Manufacture of coke oven products,Manufacture of coke oven products
Petroleum Refinery,Petroleum Refinery
Chemicals nec,Chemicals nec
N-fertiliser,N-fertiliser
P- and other fertiliser,P- and other fertiliser
Re-processing of secondary plastic into new plastic,Re-processing of secondary plastic into new plastic
"Plastics, basic","Plastics, basic"
Manufacture of rubber and plastic products (25),Manufacture of rubber and plastic products (25)
Manufacture of glass and glass products,Manufacture of glass and glass products
