exio_full_name,exio_code,rodrigues_2018_full_name,cov,"""Source: Rodrigues, J. F. D., Moran, D., Wood, R., & Behrens, P. (2018). Uncertainty of Consumption-Based Carbon Accounts. Environmental Science & Technology, 52(13), 7577–7586. https://doi.org/10.1021/acs.est.8b00632"""
Australia,AU,Australia,0.0712,
Austria,AT,RoEurope,0.0768,
Belgium,BE,RoEurope,0.0768,
Bulgaria,BG,RoEurope,0.0768,
Brazil,BR,Brazil,0.1046,
Canada,CA,Canada,0.0627,
Switzerland,CH,RoWorld,0.1072,
China,CN,China,0.0907,
Cyprus,CY,RoEurope,0.0768,
Czechia,CZ,RoEurope,0.0768,
Germany,DE,Germany,0.1015,
Denmark,DK,RoEurope,0.0768,
Spain,ES,Spain,0.0501,
Estonia,EE,RoEurope,0.0768,
Finland,FI,RoEurope,0.0768,
France,FR,France,0.0597,
United Kingdom of Great Britain and Northern Ireland,GB,UK,0.0850,
Greece,GR,RoEurope,0.0768,
Croatia,HR,RoWorld,0.1072,
Hungary,HU,RoEurope,0.0768,
Indonesia,ID,Indonesia,0.0224,
India,IN,India,0.0377,
Ireland,IE,RoEurope,0.0768,
Italy,IT,Italy,0.0482,
Japan,JP,Japan,0.0851,
Republic of Korea,KR,Korea,0.0978,
Lithuania,LT,RoEurope,0.0768,
Luxembourg,LU,RoEurope,0.0768,
Latvia,LV,RoEurope,0.0768,
Mexico,MX,Mexico,0.0583,
Malta,MT,RoEurope,0.0768,
Netherlands (Kingdom of the),NL,Netherlands,0.1600,
Norway,NO,RoWorld,0.1072,
Poland,PL,Poland,0.0737,
Portugal,PT,RoEurope,0.0768,
Romania,RO,RoEurope,0.0768,
Russian Federation,RU,Russia,0.0764,
Slovakia,SK,RoEurope,0.0768,
Slovenia,SI,RoEurope,0.0768,
Sweden,SE,RoEurope,0.0768,
Turkey,TR,Turkey,0.0549,
United States of America,US,USA,0.0553,
South Africa,ZA,RoWorld,0.1072,
RoW region - Asia,WA,RoWorld,0.1072,
RoW region - Latin America,WL,RoWorld,0.1072,
RoW region - Europe,WE,RoWorld,0.1072,
RoW region - Africa,WF,RoWorld,0.1072,
RoW region - Middle East,WM,RoWorld,0.1072,
Taiwan,TW,Taiwan,0.1217,
World,World,World,0.0574,
