"Planetary boundary","Control variable","impact_parent","impact","impact_unit","stressor","extension","stressor_unit","factor"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CH4 - combustion - air","air emissions","kg","1.59E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - combustion - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO2 - combustion - air","air emissions","kg","3.53E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO2_bio - combustion - air","air emissions","kg","3.53E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","N2O - combustion - air","air emissions","kg","4.64E-11"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - combustion - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CH4 - non combustion - Extraction/production of (natural) gas - air","air emissions","kg","1.59E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CH4 - non combustion - Extraction/production of crude oil - air","air emissions","kg","1.59E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CH4 - non combustion - Mining of antracite - air","air emissions","kg","1.59E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CH4 - non combustion - Mining of bituminous coal - air","air emissions","kg","1.59E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CH4 - non combustion - Mining of coking coal - air","air emissions","kg","1.59E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CH4 - non combustion - Mining of lignite (brown coal) - air","air emissions","kg","1.59E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CH4 - non combustion - Mining of sub-bituminous coal - air","air emissions","kg","1.59E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CH4 - non combustion - Oil refinery - air","air emissions","kg","1.59E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Agglomeration plant - sinter - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Bricks production - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Carbon black production - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Cement production - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Chemical wood pulp, dissolving grades - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Glass production - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Lime production - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Oil refinery - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Pig iron production, blast furnace - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Primary aluminium production - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Production of coke oven coke - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Production of gascoke - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Steel production: basic oxygen furnace - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO - non combustion - Steel production: electric arc furnace - air","air emissions","kg","2.74E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO2 - non combustion - Cement production - air","air emissions","kg","3.53E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","CO2 - non combustion - Lime production - air","air emissions","kg","3.53E-13"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Beef and veal - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Coil coating (coating of aluminum and steel) - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Decorative paint applicatoin - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Degreasing - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Diesel distribution - transport and depots (used in mobile sources) - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources) - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Dry cleaning - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Extraction, proc. and distribution of gaseous fuels - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Extraction, proc. and distribution of liquid fuels - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Extraction/production of (natural) gas - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Extraction/production of crude oil - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Fat, edible and non-edible oil extraction - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen - air","air emissions","kg","1.06E-12"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","W yr m-2","NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air","air emissions","kg","1.06E-12"
