original_classification_full_name,original_classification,aggregated_mrio
Angola,AGO,AGO
United Arab Emirates,ARE,ARE
Argentina,ARG,ARG
Australia,AUS,AUS
Austria,AUT,AUT
Belgium,BEL,BEL
Bangladesh,BGD,BGD
Bulgaria,BGR,BGR
Belarus,BLR,BLR
Brazil,BRA,BRA
Brunei Darussalam,BRN,BRN
Canada,CAN,CAN
Switzerland,CHE,CHE
Chile,CHL,CHL
"China, People's Republic of",CHN,CHN
C¶te d'Ivoire,CIV,CIV
Cameroon,CMR,CMR
Democratic Republic of the Congo,COD,COD
Colombia,COL,COL
Costa Rica,CRI,CRI
Cyprus,CYP,CYP
Czechia,CZE,CZE
Germany,DEU,DEU
Denmark,DNK,DNK
Egypt,EGY,EGY
Spain,ESP,ESP
Estonia,EST,EST
Finland,FIN,FIN
France,FRA,FR
United Kingdom,GBR,GBR
Greece,GRC,GRC
"Hong Kong, China",HKG,HKG
Croatia,HRV,HRV
Hungary,HUN,HUN
Indonesia,IDN,IDN
India,IND,IND
Ireland,IRL,IRL
Iceland,ISL,ISL
Israel,ISR,ISR
Italy,ITA,ITA
Jordan,JOR,JOR
Japan,JPN,JPN
Kazakhstan,KAZ,KAZ
Cambodia,KHM,KHM
Korea,KOR,KOR
Lao (People's Democratic Republic),LAO,LAO
Lithuania,LTU,LTU
Luxembourg,LUX,LUX
Latvia,LVA,LVA
Morocco,MAR,MAR
Mexico,MEX,MEX
Malta,MLT,MLT
Myanmar,MMR,MMR
Malaysia,MYS,MYS
Nigeria,NGA,NGA
Netherlands,NLD,NLD
Norway,NOR,NOR
New Zealand,NZL,NZL
Pakistan,PAK,PAK
Peru,PER,PER
Philippines,PHL,PHL
Poland,POL,POL
Portugal,PRT,PRT
Romania,ROU,ROU
Russian Federation,RUS,RUS
Saudi Arabia,SAU,SAU
Senegal,SEN,SEN
Singapore,SGP,SGP
Sa§ Tomķ and PrĒncipe,STP,STP
Slovak Republic,SVK,SVK
Slovenia,SVN,SVN
Sweden,SWE,SWE
Thailand,THA,THA
Tunisia,TUN,TUN
T³rkiye,TUR,TUR
Chinese Taipei,TWN,TWN
Ukraine,UKR,UKR
United States,USA,USA
Viet Nam,VNM,VNM
South Africa,ZAF,ZAF
Rest of the World,ROW,ROW
