original_classification_full_name,original_classification,grouped_mrio
Angola,AGO,World
United Arab Emirates,ARE,World
Argentina,ARG,World
Australia,AUS,World
Austria,AUT,World
Belgium,BEL,World
Bangladesh,BGD,World
Bulgaria,BGR,World
Belarus,BLR,World
Brazil,BRA,World
Brunei Darussalam,BRN,World
Canada,CAN,World
Switzerland,CHE,World
Chile,CHL,World
"China, People's Republic of",CHN,World
C¶te d'Ivoire,CIV,World
Cameroon,CMR,World
Democratic Republic of the Congo,COD,World
Colombia,COL,World
Costa Rica,CRI,World
Cyprus,CYP,World
Czechia,CZE,World
Germany,DEU,World
Denmark,DNK,World
Egypt,EGY,World
Spain,ESP,World
Estonia,EST,World
Finland,FIN,World
France,FRA,World
United Kingdom,GBR,World
Greece,GRC,World
"Hong Kong, China",HKG,World
Croatia,HRV,World
Hungary,HUN,World
Indonesia,IDN,World
India,IND,World
Ireland,IRL,World
Iceland,ISL,World
Israel,ISR,World
Italy,ITA,World
Jordan,JOR,World
Japan,JPN,World
Kazakhstan,KAZ,World
Cambodia,KHM,World
Korea,KOR,World
Lao (People's Democratic Republic),LAO,World
Lithuania,LTU,World
Luxembourg,LUX,World
Latvia,LVA,World
Morocco,MAR,World
Mexico,MEX,World
Malta,MLT,World
Myanmar,MMR,World
Malaysia,MYS,World
Nigeria,NGA,World
Netherlands,NLD,World
Norway,NOR,World
New Zealand,NZL,World
Pakistan,PAK,World
Peru,PER,World
Philippines,PHL,World
Poland,POL,World
Portugal,PRT,World
Romania,ROU,World
Russian Federation,RUS,World
Saudi Arabia,SAU,World
Senegal,SEN,World
Singapore,SGP,World
Sa§ Tomķ and PrĒncipe,STP,World
Slovak Republic,SVK,World
Slovenia,SVN,World
Sweden,SWE,World
Thailand,THA,World
Tunisia,TUN,World
T³rkiye,TUR,World
Chinese Taipei,TWN,World
Ukraine,UKR,World
United States,USA,World
Viet Nam,VNM,World
South Africa,ZAF,World
Rest of the World,ROW,World
