original_classification_full_name,original_classification,grouped_mrio
Agriculture and hunting,A01,
Forestry and logging,A02,
Fishing and aquaculture,A03,
Mining of coal and lignite,B05,
Extraction of crude petroleum and natural gas,B06,
Mining of metal ores,B07,
Other mining and quarrying,B08,
Mining support service activities,B09,
Manufacture of food products; beverages and tobacco products,C10T12,
"Manufacture of textiles, wearing apparel, leather and related products",C13T15,
Manufacture of wood and of products of wood and cork,C16,
Manufacture of paper and paper products; Printing and reproduction of recorded media,C17_18,
Manufacture of coke and refined petroleum products,C19,
Manufacture of chemicals and chemical products,C20,
Manufacture of basic pharmaceutical products and pharmaceutical preparations,C21,
Manufacture of rubber and plastic products,C22,
Manufacture of other non-metallic mineral products,C23,
Manufacture of basic iron and steel,C24A,
Manufacture of basic precious and other non-ferrous metals,C24B,
Manufacture of fabricated metal products,C25,
"Manufacture of computer, electronic and optical products",C26,
Manufacture of electrical equipment,C27,
Manufacture of machinery and equipment n.e.c. ,C28,
"Manufacture of motor vehicles, trailers and semi-trailers",C29,
Building of ships and boats,C301,
Manufacture of other transport equipment,C302T309,
Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment,C31T33,
"Electricity, gas, steam and air conditioning supply",D,
"Water supply; sewerage, waste management and remediation activities",E,
Construction,F,
Wholesale and retail trade; repair of motor vehicles and motorcycles,G,
Land transport and transport via pipelines,H49,
Water transport,H50,
Air transport,H51,
Warehousing and support activities for transportation,H52,
Postal and courier activities,H53,
Accommodation and food service activities,I,
"Publishing, Motion picture, video, television programme production and broadcasting activities",J58T60,
Telecommunications,J61,
Computer programming and information service activities,J62_63,
Financial and insurance activities,K,
Real estate activities,L,
"Professional, scientific and technical activities",M,
Administrative and support service activities,N,
Public administration and defence; compulsory social security,O,
Education,P,
Human health and social work activities,Q,
"Arts, entertainment and recreation activities",R,
Other service activities,S,
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T,
