iso3_code,wb_full_name,oecd_code,agg_parent,parent_iso3_code
AUS,Australia,AUS,No,
AUT,Austria,AUT,No,
BEL,Belgium,BEL,No,
BGR,Bulgaria,BGR,No,
BRA,Brazil,BRA,No,
CAN,Canada,CAN,No,
CHE,Switzerland,CHE,No,
CHN,China,CHN,No,
CYP,Cyprus,CYP,No,
CZE,Czechia,CZE,No,
DEU,Germany,DEU,No,
DNK,Denmark,DNK,No,
ESP,Spain,ESP,No,
EST,Estonia,EST,No,
FIN,Finland,FIN,No,
FRA,France,FRA,No,
GBR,United Kingdom,GBR,No,
GRC,Greece,GRC,No,
HRV,Croatia,HRV,No,
HUN,Hungary,HUN,No,
IDN,Indonesia,IDN,No,
IND,India,IND,No,
IRL,Ireland,IRL,No,
ITA,Italy,ITA,No,
JPN,Japan,JPN,No,
KOR,"Korea, Rep.",KOR,No,
LTU,Lithuania,LTU,No,
LUX,Luxembourg,LUX,No,
LVA,Latvia,LVA,No,
MEX,Mexico,MEX,No,
MLT,Malta,MLT,No,
NLD,Netherlands,NLD,No,
NOR,Norway,NOR,No,
POL,Poland,POL,No,
PRT,Portugal,PRT,No,
ROU,Romania,ROU,No,
RUS,Russian Federation,RUS,No,
SVK,Slovak Republic,SVK,No,
SVN,Slovenia,SVN,No,
SWE,Sweden,SWE,No,
TUR,Turkiye,TUR,No,
USA,United States,USA,No,
ZAF,South Africa,ZAF,No,
AFG,Afghanistan,ROW,No,
ASM,American Samoa,USA,Yes,USA
ARM,Armenia,ROW,No,
AZE,Azerbaijan,ROW,No,
BGD,Bangladesh,BGD,No,
BTN,Bhutan,ROW,No,
BRN,Brunei Darussalam,BRN,No,
KHM,Cambodia,KHM,No,
FJI,Fiji,ROW,No,
PYF,French Polynesia,ROW,No,
GEO,Georgia,ROW,No,
GUM,Guam,USA,Yes,USA
HKG,"Hong Kong SAR, China",HKG,No,
KAZ,Kazakhstan,KAZ,No,
KIR,Kiribati,ROW,No,
PRK,"Korea, Dem. People's Rep.",ROW,No,
KGZ,Kyrgyz Republic,ROW,No,
LAO,Lao PDR,LAO,No,
MAC,"Macao SAR, China",ROW,No,
MYS,Malaysia,MYS,No,
MDV,Maldives,ROW,No,
MHL,Marshall Islands,ROW,No,
FSM,"Micronesia, Fed. Sts.",ROW,No,
MNG,Mongolia,ROW,No,
MMR,Myanmar,MMR,No,
NRU,Nauru,ROW,No,
NPL,Nepal,ROW,No,
NCL,New Caledonia,ROW,No,
NZL,New Zealand,NZL,No,
MNP,Northern Mariana Islands,USA,Yes,USA
PAK,Pakistan,PAK,No,
PLW,Palau,ROW,No,
PNG,Papua New Guinea,ROW,No,
PHL,Philippines,PHL,No,
WSM,Samoa,ROW,No,
SGP,Singapore,SGP,No,
SLB,Solomon Islands,ROW,No,
LKA,Sri Lanka,ROW,No,
TJK,Tajikistan,ROW,No,
THA,Thailand,THA,No,
TLS,Timor-Leste,ROW,No,
TON,Tonga,ROW,No,
TKM,Turkmenistan,ROW,No,
TUV,Tuvalu,ROW,No,
UZB,Uzbekistan,ROW,No,
VUT,Vanuatu,ROW,No,
VNM,Viet Nam,VNM,No,
ATG,Antigua and Barbuda,ROW,No,
ARG,Argentina,ARG,No,
ABW,Aruba,ROW,No,
BHS,"Bahamas, The",ROW,No,
BRB,Barbados,ROW,No,
BLZ,Belize,ROW,No,
BMU,Bermuda,ROW,No,
BOL,Bolivia,ROW,No,
VGB,British Virgin Islands,ROW,No,
CYM,Cayman Islands,ROW,No,
CHL,Chile,CHL,No,
COL,Colombia,COL,No,
CRI,Costa Rica,CRI,No,
CUB,Cuba,ROW,No,
CUW,Curacao,ROW,No,
DMA,Dominica,ROW,No,
DOM,Dominican Republic,ROW,No,
ECU,Ecuador,ROW,No,
SLV,El Salvador,ROW,No,
GRL,Greenland,ROW,No,
GRD,Grenada,ROW,No,
GTM,Guatemala,ROW,No,
GUY,Guyana,ROW,No,
HTI,Haiti,ROW,No,
HND,Honduras,ROW,No,
JAM,Jamaica,ROW,No,
NIC,Nicaragua,ROW,No,
PAN,Panama,ROW,No,
PRY,Paraguay,ROW,No,
PER,Peru,PER,No,
PRI,Puerto Rico (US),ROW,No,
SXM,Sint Maarten (Dutch part),ROW,No,
KNA,St. Kitts and Nevis,ROW,No,
LCA,St. Lucia,ROW,No,
MAF,St. Martin (French part),FRA,Yes,FRA
VCT,St. Vincent and the Grenadines,ROW,No,
SUR,Suriname,ROW,No,
TTO,Trinidad and Tobago,ROW,No,
TCA,Turks and Caicos Islands,ROW,No,
URY,Uruguay,ROW,No,
VEN,"Venezuela, RB",ROW,No,
VIR,Virgin Islands (U.S.),USA,Yes,USA
ALB,Albania,ROW,No,
AND,Andorra,ROW,No,
BLR,Belarus,BLR,No,
BIH,Bosnia and Herzegovina,ROW,No,
CHI,Channel Islands,GBR,Yes,GBR
FRO,Faroe Islands,DNK,Yes,DNK
GIB,Gibraltar,GBR,Yes,GBR
ISL,Iceland,ISL,No,
IMN,Isle of Man,GBR,Yes,GBR
XKX,Kosovo,ROW,No,
LIE,Liechtenstein,ROW,No,
